web-scraper-order,web-scraper-start-url,infos,infos-href,Details,prix,adresse,N_chambre,Superficie,img_ling-src
"1737720345-106","https://www.expat-dakar.com/appartements-meubles?page=69","Grand appartement 3 chambres meublés
                                3 chambre250 m²
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        3. nov. '24, 13:47
                                    
                                            Vendeur vérifié
                                        
                    40 000 F Cfa
                        
                        775911959","https://www.expat-dakar.com/annonce/grand-appartement-3-chambres-meubles-6155122","Grand appartement 3 chambres meublés","40 000 F Cfa","Hann maristes","3","250 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ecd04360d2e0180a4c986fbb6567c115/-/horizon-files-prod/ed/picture/q6xdnxdn/6e4dcb6534e0d294c7e7cb4872e3ba881bb2a582.jpg"
"1737720359-107","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement meublé à louer à Liberté 6 extension
                                2 chambre
                                                                                    Sicap Liberté,
                                                                                Dakar
                                    
                                        3. nov. '24, 23:58
                                    
                    25 000 F Cfa
                        
                        779275098
                    
                        776295966
                    
                        707168455","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-a-liberte-6-extension-2724809","Appartement meublé à louer à Liberté 6 extension","25 000 F Cfa","Sicap Liberté","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ba80f0a31d15746f36ccd63ac4edcda3/-/horizon-files-prod/ed/picture/migrated/q595nze/589d375ce01ca063986cdf8338517c6211e3606a.jpg"
"1737720367-108","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement meublé almadies
                                2 chambre120 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        4. nov. '24, 08:55
                                    
                    750 000 F Cfa
                        
                        775597743","https://www.expat-dakar.com/annonce/appartement-meuble-almadies-6202121","Appartement meublé almadies","750 000 F Cfa","Almadies","2","120 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f21d3794299a755737a5e64ab4121d0e/-/horizon-files-prod/ed/picture/qzvpeezq/6f759f171dbbfd7bd630e2d00ca610813284532b.jpg"
"1737720370-109","https://www.expat-dakar.com/appartements-meubles?page=68","3 chambres Mammelles
                                3 chambre150 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        4. nov. '24, 10:25
                                    
                    900 000 F Cfa
                        
                        774239410
                    
                        772596043","https://www.expat-dakar.com/annonce/3-chambres-mammelles-6081854","3 chambres Mammelles","900 000 F Cfa","Almadies","3","150 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8e879e86c3514ca3eafdaf6b526dcf14/-/horizon-files-prod/ed/picture/qrzvdveg/eb55c6a069d76ca964193ce6c615c5b14c38f3f6.jpg"
"1737720374-110","https://www.expat-dakar.com/appartements-meubles?page=68","F3 meublé disponible au Point E
                                2 chambre110 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        vendredi, 16:04
                                    
                    40 000 F Cfa
                        
                        774762606","https://www.expat-dakar.com/annonce/f3-meuble-disponible-au-point-e-6144258","F3 meublé disponible au Point E","40 000 F Cfa","Point-e","2","110 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/013ac723969d10675f3b238f3e43776f/-/horizon-files-prod/ed/picture/qkr87mz2/cb66249a7f5e95aa3b59b868f749723e9f796c28.jpg"
"1737720380-111","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement 3 chambres salon climatisés location mois
                                3 chambre150 m²
                                                                                    Grand-Yoff,
                                                                                Dakar
                                    
                                        5. nov. '24, 10:55
                                    
                    600 000 F Cfa
                        
                        781168788
                    
                        767449434","https://www.expat-dakar.com/annonce/appartement-3-chambres-salon-climatises-location-mois-6074650","Appartement 3 chambres salon climatisés location mois","600 000 F Cfa","Grand-Yoff","3","150 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c04d55f3cd87ad1caf8052320d4b3e75/-/horizon-files-prod/ed/picture/qwe2djdj/828a5df666ed1ef8915cb67bea8ec986d65afdae.jpg"
"1737720387-112","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement meublé aux Mamelles
                                2 chambre
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        15. nov. '24, 11:46
                                    
                    35 000 F Cfa
                        
                        775067967
                    
                        771060319","https://www.expat-dakar.com/annonce/appartement-meuble-aux-mamelles-6203237","Appartement meublé aux Mamelles","35 000 F Cfa","Mamelles","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/84e6e060ab7bada6ba9bdda2a06bb62a/-/horizon-files-prod/ed/picture/qj4q27d5/00aaa106a022a95e0bf9d0c7028e858d1fe7fc33.jpg"
"1737720391-113","https://www.expat-dakar.com/appartements-meubles?page=68","STUDIO MEUBLE A LOUER
                                1 chambre0 m²
                                                                                    Point-e,
                                                                                Dakar
                                    
                                        5. nov. '24, 13:14
                                    
                    50 000 F Cfa
                        
                        771814848
                    
                        771814848
                    
                        781362929","https://www.expat-dakar.com/annonce/studio-meuble-a-louer-6203428","STUDIO MEUBLE A LOUER","50 000 F Cfa","Point-e","1","0 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0b81e03516f9b264d5ab6c1ea7980991/-/horizon-files-prod/ed/picture/qwepj9mm/a20938f3fb01e29424b0d9521ea18c860ab8a712.jpg"
"1737720395-114","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement Meublé SD City
                                3 chambre107 m²
                                                                                    Diamniadio,
                                                                                Dakar
                                    
                                        5. nov. '24, 13:22
                                    
                    40 000 F Cfa
                        
                        771814848
                    
                        771814848
                    
                        781362929","https://www.expat-dakar.com/annonce/appartement-meuble-sd-city-6203431","Appartement Meublé SD City","40 000 F Cfa","Diamniadio","3","107 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/121d4cc39082bbf8b8c13bff16b2aa13/-/horizon-files-prod/ed/picture/q44n72j8/189965ae7dfd6a1b759170ad6f770c044ea94280.jpg"
"1737720400-115","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement meublé à louer aux Almadies
                                3 chambre220 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        5. nov. '24, 13:33
                                    
                    1 300 000 F Cfa
                        
                        779151684","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-aux-almadies-6103300","Appartement meublé à louer aux Almadies","1 300 000 F Cfa","Almadies","3","220 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5bcf35bb640d931eada503834e732ba6/-/horizon-files-prod/ed/picture/q6xdxd6j/539c18269c22272199ebf46f0b60f7e30b0822ab.jpg"
"1737720405-116","https://www.expat-dakar.com/appartements-meubles?page=68","Appartement meublé proche du centre ville de Dakar
                                2 chambre
                                                                                    Plateau,
                                                                                Dakar
                                    
                                        1. déc. '24, 14:23
                                    
                    40 000 F Cfa
                        
                        786816663","https://www.expat-dakar.com/annonce/appartement-meuble-proche-du-centre-ville-de-dakar-5902904","Appartement meublé proche du centre ville de Dakar","40 000 F Cfa","Plateau","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/870547202a4923c227c29accbb54f939/-/horizon-files-prod/ed/picture/q9m9jnm7/d9a0d7e48ecc6510b9ee58c6d5ced288dd9e7870.jpg"
"1737720413-117","https://www.expat-dakar.com/appartements-meubles?page=67","Mini studio  meublé à louer
                                1 chambre50 m²
                                                                                    Ouest foire,
                                                                                Dakar
                                    
                                        6. nov. '24, 09:11
                                    
                    17 500 F Cfa
                        
                        777522202","https://www.expat-dakar.com/annonce/mini-studio-meuble-a-louer-6061350","Mini studio  meublé à louer","17 500 F Cfa","Ouest foire","1","50 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f3428c10c0ab31b0b8793f8652d4846/-eyJvciI6MjcwfQ%3D%3D/horizon-files-prod/ed/picture/qwe2vrwd/75b17a1f7bbc2fce777877d218a6100b98947a59.jpg"
"1737720417-118","https://www.expat-dakar.com/appartements-meubles?page=67","2 chambres salon meublé à sacré cœur 3 VDN RDC
                                2 chambre
                                                                                    Sacré-cœur,
                                                                                Dakar
                                    
                                        6. nov. '24, 14:29
                                    
                    45 000 F Cfa
                        
                        765630430","https://www.expat-dakar.com/annonce/2-chambres-salon-meuble-a-sacre-coeur-3-vdn-rdc-5757721","2 chambres salon meublé à sacré cœur 3 VDN RDC","45 000 F Cfa","Sacré-cœur","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/225f6f467f2838dcdcc2bcb9752db541/-/horizon-files-prod/ed/picture/qzv4504q/bc4604a776e59769296454123cbf8e7f1486d3ad.jpg"
"1737720423-119","https://www.expat-dakar.com/appartements-meubles?page=67","Appartement 2 chambres meublé maristes école japonaise
                                2 chambre
                                                                                    Hann maristes,
                                                                                Dakar
                                    
                                        21. nov. '24, 10:10
                                    
                    40 000 F Cfa
                        
                        765630430","https://www.expat-dakar.com/annonce/appartement-2-chambres-meuble-maristes-ecole-japonaise-6063778","Appartement 2 chambres meublé maristes école japonaise","40 000 F Cfa","Hann maristes","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a7f9e5dea8e4fed91c72874f397e31cd/-/horizon-files-prod/ed/picture/qm5pxdd6/fcd51ba9b717fa39d615e478873dd1e9fa6008bd.jpg"
"1737720427-120","https://www.expat-dakar.com/appartements-meubles?page=67","Appartement keur gorgui
                                
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        7. nov. '24, 14:58
                                    
                    25 000 F Cfa
                        
                        779170639
                    
                        778893535","https://www.expat-dakar.com/annonce/appartement-keur-gorgui-2726957","Appartement keur gorgui","25 000 F Cfa","Mermoz","","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4fc281486b655ca1a56022449194a746/-/horizon-files-prod/ed/picture/qg07gwk/fc3584452b1071af6a55e5a2bf6ca1a7e628e6ce.jpg"
"1737720431-121","https://www.expat-dakar.com/appartements-meubles?page=67","F2 meublé standing
                                1 chambre110 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        8. nov. '24, 07:55
                                    
                    500 000 F Cfa
                        
                        777243397","https://www.expat-dakar.com/annonce/f2-meuble-standing-6205716","F2 meublé standing","500 000 F Cfa","Mamelles","1","110 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c34107588f83cb8e44b7111a6a4be61e/-/horizon-files-prod/ed/picture/qpdm2e4p/b70e558ab957b4531bba9b7581cd3deb1d8c52d3.jpg"
"1737720436-122","https://www.expat-dakar.com/appartements-meubles?page=67","Appartement Meublé F3 de haut standing
                                2 chambre
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        8. nov. '24, 11:40
                                    
                    80 000 F Cfa
                        
                        772127575
                    
                        338224816
                    
                        338224817","https://www.expat-dakar.com/annonce/appartement-meuble-f3-de-haut-standing-6206286","Appartement Meublé F3 de haut standing","80 000 F Cfa","Cité keur gorgui","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e67254dae17e131740694f76a444f665/-/horizon-files-prod/ed/picture/qenv2406/11edf70874f3f2a033f21e57f6f7d0d17a42ffcb.jpg"
"1737720441-123","https://www.expat-dakar.com/appartements-meubles?page=67","Studio meublé aux Almadies
                                1 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        8. nov. '24, 11:47
                                    
                    25 000 F Cfa
                        
                        771579168","https://www.expat-dakar.com/annonce/studio-meuble-aux-almadies-6097475","Studio meublé aux Almadies","25 000 F Cfa","Almadies","1","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9a7d6f8426757c22e13b3f36ad0d6f3b/-/horizon-files-prod/ed/picture/q44njw4e/a4874ad8e7779ddd7700e4fa63f65697c00140c9.jpg"
"1737720446-124","https://www.expat-dakar.com/appartements-meubles?page=67","2 chambres salon Ngor Almadies près de chez Katia
                                2 chambre
                                                                                    Ngor,
                                                                                Dakar
                                    
                                        8. nov. '24, 13:12
                                    
                    55 000 F Cfa
                        
                        765630430","https://www.expat-dakar.com/annonce/2-chambres-salon-ngor-almadies-pres-de-chez-katia-5718541","2 chambres salon Ngor Almadies près de chez Katia","55 000 F Cfa","Ngor","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/de3a2a7725d6514edeef072c72fad7b8/-/horizon-files-prod/ed/picture/q564g6xn/e03c63155f9b9d69c05480224b790874f5af3915.jpg"
"1737720452-125","https://www.expat-dakar.com/appartements-meubles?page=67","Ref_ 3280_SEY Sud Foire \ Appartement meublé à louer
                                2 chambre
                                                                                    Sud foire,
                                                                                Dakar
                                    
                                        8. nov. '24, 13:26
                                    
                    70 000 F Cfa
                        
                        781385959
                    
                        776313024","https://www.expat-dakar.com/annonce/ref-3280-sey-sud-foire-appartement-meuble-a-louer-6206463","Ref_ 3280_SEY Sud Foire \ Appartement meublé à louer","70 000 F Cfa","Sud foire","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c0602122ecf6b0ab7f801f773cd2eac/-/horizon-files-prod/ed/picture/q56dvep7/1c55394a4a90e865f9daa274528700ec960a6a55.jpg"
"1737720456-126","https://www.expat-dakar.com/appartements-meubles?page=67","Penthouse meublé à louer à l'espace Ataya à yoff
                                2 chambre
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        8. nov. '24, 16:19
                                    
                    90 000 F Cfa
                        
                        772847878","https://www.expat-dakar.com/annonce/penthouse-meuble-a-louer-a-lespace-ataya-a-yoff-6126882","Penthouse meublé à louer à l'espace Ataya à yoff","90 000 F Cfa","Yoff","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/edd4b601705fb204ffabfa282cbde31b/-/horizon-files-prod/ed/picture/qpdm6jvr/bc4bf3650e9030db68efb332faf7eb1dc3765f85.jpg"
"1737720467-127","https://www.expat-dakar.com/appartements-meubles?page=66","Bel appartement neuf à Mermoz
                                3 chambre225 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        8. nov. '24, 16:43
                                    
                    2 500 000 F Cfa
                        
                        776539816","https://www.expat-dakar.com/annonce/bel-appartement-neuf-a-mermoz-6169021","Bel appartement neuf à Mermoz","2 500 000 F Cfa","Mermoz","3","225 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6db350cdd9c748c6aeb31b34df85aacc/-/horizon-files-prod/ed/picture/qzvprr7v/77b3706590e5d4b40f69ba19a803cda932b9e73f.jpg"
"1737720472-128","https://www.expat-dakar.com/appartements-meubles?page=66","STUDIO bien meublé à la Zone B  à 100 m  de POINT E.
                                1 chambre80 m²
                                                                                    Sicap Liberté,
                                                                                Dakar
                                    
                                        8. nov. '24, 16:55
                                    
                    45 000 F Cfa
                        
                        776536967","https://www.expat-dakar.com/annonce/studio-bien-meuble-a-la-zone-b-a-100-m-de-point-e-6205850","STUDIO bien meublé à la Zone B  à 100 m  de POINT E.","45 000 F Cfa","Sicap Liberté","1","80 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce38c3c168182294b8c2db4efe971eed/-/horizon-files-prod/ed/picture/qwepj4mz/b58e5f6ac6e93015208fd140c5cfee75dd57b9ba.jpg"
"1737720478-129","https://www.expat-dakar.com/appartements-meubles?page=66","Studio Americain neuf
                                1 chambre60 m²
                                                                                    Virage,
                                                                                Dakar
                                    
                                        8. nov. '24, 19:25
                                    
                    40 000 F Cfa
                        
                        706411749
                    
                        781984534","https://www.expat-dakar.com/annonce/studio-americain-neuf-6203779","Studio Americain neuf","40 000 F Cfa","Virage","1","60 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/487e4e42e1d5ea9a07d7b9eeb0417324/-/horizon-files-prod/ed/picture/qgqwzkr2/f73b8a5807674c2a5a74bc85465269a0c4b4c31c.jpg"
"1737720482-130","https://www.expat-dakar.com/appartements-meubles?page=66","Chambres dans appartement T2, T3 et T4 meublé
                                1 chambre5 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        9. nov. '24, 09:21
                                    
                    25 000 F Cfa
                        
                        781585912","https://www.expat-dakar.com/annonce/chambres-dans-appartement-t2-t3-et-t4-meuble-6206867","Chambres dans appartement T2, T3 et T4 meublé","25 000 F Cfa","Almadies","1","5 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/351518c8caf191dfe06c1300a37c9337/-/horizon-files-prod/ed/picture/q78w9k7x/47888346da148a812e248f5362d2cc9444fae8f3.jpg"
"1737720487-131","https://www.expat-dakar.com/appartements-meubles?page=66","Joli studio meublé 1 chambre + salon à Zac Mbao
                                1 chambre60 m²
                                                                                    Zac Mbao,
                                                                                Dakar
                                    
                                        9. nov. '24, 12:22
                                    
                    25 000 F Cfa
                        
                        775853800
                    
                        779445088
                    
                        775422503","https://www.expat-dakar.com/annonce/joli-studio-meuble-1-chambre-salon-a-zac-mbao-5838716","Joli studio meublé 1 chambre + salon à Zac Mbao","25 000 F Cfa","Zac Mbao","1","60 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb47ed2ac562c81a45e181c7184fcbfc/-/horizon-files-prod/ed/picture/qpdwxn2m/5be591f55e44fb325f379efb8703d2f70a705498.jpg"
"1737720491-132","https://www.expat-dakar.com/appartements-meubles?page=66","Chambres meublées (Dakar) Médina
                                1 chambre100 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        9. nov. '24, 12:46
                                    
                    15 000 F Cfa
                        
                        777912333","https://www.expat-dakar.com/annonce/chambres-meublees-dakar-medina-6206979","Chambres meublées (Dakar) Médina","15 000 F Cfa","Mermoz","1","100 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/49628fa7f062df9b239609fd935a5132/-/horizon-files-prod/ed/picture/qgqwzv48/728a304efbee849d35ab8761c92e08b35dc81ff5.jpg"
"1737720496-133","https://www.expat-dakar.com/appartements-meubles?page=66","Joli Appartement F3 meublé à louer
                                2 chambre
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        9. nov. '24, 15:05
                                    
                    60 000 F Cfa
                        
                        775084510","https://www.expat-dakar.com/annonce/joli-appartement-f3-meuble-a-louer-6207165","Joli Appartement F3 meublé à louer","60 000 F Cfa","Almadies","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d5df37f5e5228d8526995aa6c308ef67/-/horizon-files-prod/ed/picture/qzvpe7kn/71109fb6084bfe1b7374de8c23e3cb7d20d67d5a.jpg"
"1737720500-134","https://www.expat-dakar.com/appartements-meubles?page=66","STUDIO F1 BOUYGUES MEUBLE A SACRE COEUR 3 VDN
                                1 chambre39 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        18. nov. '24, 18:16
                                    
                    26 000 F Cfa
                        
                        779005499","https://www.expat-dakar.com/annonce/studio-f1-bouygues-meuble-a-sacre-coeur-3-vdn-3137518","STUDIO F1 BOUYGUES MEUBLE A SACRE COEUR 3 VDN","26 000 F Cfa","Mermoz","1","39 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c581a64bcf0d57340a9a9f8ec1b3fd1b/-/horizon-files-prod/ed/picture/qdz2m44/1b9b8990e1c2e439d4387e002899868aadcdbb40.jpg"
"1737720507-135","https://www.expat-dakar.com/appartements-meubles?page=66","Appartement Meublé Design Mamelles
                                3 chambre150 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        9. nov. '24, 21:36
                                    
                    35 000 F Cfa
                        
                        781871070","https://www.expat-dakar.com/annonce/appartement-meuble-design-mamelles-5258308","Appartement Meublé Design Mamelles","35 000 F Cfa","Mamelles","3","150 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/26766cdf94135d9f02ce2578262492d1/-/horizon-files-prod/ed/picture/q8v0g6p0/9e43bbe095214b8f483c578c446ced3561d9b5de.jpg"
"1737720511-136","https://www.expat-dakar.com/appartements-meubles?page=66","Appartements meublés de types F 3 et F4 à cité gorgui
                                2 chambre150 m²
                                                                                    Cité keur gorgui,
                                                                                Dakar
                                    
                                        11. nov. '24, 09:21
                                    
                    50 000 F Cfa
                        
                        774597459
                    
                        763922308","https://www.expat-dakar.com/annonce/appartements-meubles-de-types-f-3-et-f4-a-cite-gorgui-6207386","Appartements meublés de types F 3 et F4 à cité gorgui","50 000 F Cfa","Cité keur gorgui","2","150 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1406749a54c893ae852a347894485c11/-/horizon-files-prod/ed/picture/qenv2gq6/021834fba07c560d586c6c7d273ded8dfecf8ff4.jpg"
"1737720526-137","https://www.expat-dakar.com/appartements-meubles?page=65","Appartement  meublé aux Mamelles
                                2 chambre120 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        10. nov. '24, 12:16
                                    
                    30 000 F Cfa
                        
                        786018145","https://www.expat-dakar.com/annonce/appartement-meuble-aux-mamelles-4471785","Appartement  meublé aux Mamelles","30 000 F Cfa","Mamelles","2","120 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9659960ed8b975c9268ecfb534c371c1/-/horizon-files-prod/ed/picture/q5e67d7/c5955f8f2b0d9af41ba674a0c51a9a316b36bb70.jpg"
"1737720533-138","https://www.expat-dakar.com/appartements-meubles?page=65","Appartement meublé de 2 chambres a louer Ngor Almadie
                                3 chambre130 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        6. nov. '24, 17:43
                                    
                    1 300 000 F Cfa
                        
                        777303803
                    
                        768134798
                    
                        761569978","https://www.expat-dakar.com/annonce/appartement-meuble-de-2-chambres-a-louer-ngor-almadie-6204690","Appartement meublé de 2 chambres a louer Ngor Almadie","1 300 000 F Cfa","Almadies","3","130 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/75bba4f5bef0be41e357116dd46bc04f/-/horizon-files-prod/ed/picture/qv4wxr0k/aaba3cb9ea5bd01566aefc3546fa76340246805a.jpg"
"1737720539-139","https://www.expat-dakar.com/appartements-meubles?page=65","Appartement moderne meublé aux mamelles
                                2 chambre100 m²
                                                                                    Mamelles,
                                                                                Dakar
                                    
                                        18. déc. '24, 14:17
                                    
                    37 000 F Cfa
                        
                        778117464","https://www.expat-dakar.com/annonce/appartement-moderne-meuble-aux-mamelles-6207520","Appartement moderne meublé aux mamelles","37 000 F Cfa","Mamelles","2","100 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce4a48932f0f7c6477739b7a21db4734/-/horizon-files-prod/ed/picture/qenv2g2d/c0d1c37457a65f5b6b361bcaad6c1fedb83e5a81.jpg"
"1737720543-140","https://www.expat-dakar.com/appartements-meubles?page=65","Chambre meublée à Ouest foire
                                1 chambre10 m²
                                                                                    Yoff,
                                                                                Dakar
                                    
                                        11. nov. '24, 10:20
                                    
                    15 000 F Cfa
                        
                        779500087
                    
                        779500087
                    
                        777579612","https://www.expat-dakar.com/annonce/chambre-meublee-a-ouest-foire-3614611","Chambre meublée à Ouest foire","15 000 F Cfa","Yoff","1","10 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/95a334261b4564d9db2cde7d4fafa2cd/-/horizon-files-prod/ed/picture/qxmqxpz/4b851fc952b696b4dc858ff240a128314614338f.jpg"
"1737720547-141","https://www.expat-dakar.com/appartements-meubles?page=65","Chambres meublées climatisées à louer à Richard TOLL
                                7 chambre
                                                                                    Richard Toll,
                                                                                Saint-Louis
                                    
                                        11. nov. '24, 11:41
                                    
                    20 000 F Cfa
                        
                        776455137","https://www.expat-dakar.com/annonce/chambres-meublees-climatisees-a-louer-a-richard-toll-6125774","Chambres meublées climatisées à louer à Richard TOLL","20 000 F Cfa","Richard Toll","7","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c736300f3696a42dad1a0a956f290f61/-/horizon-files-prod/ed/picture/q8v45pxp/48cffaa76be430d2677e29b3176d3f10449dd574.jpg"
"1737720551-142","https://www.expat-dakar.com/appartements-meubles?page=65","Chambre meublée Ngor-Almadies
                                1 chambre40 m²
                                                                                    Almadies,
                                                                                Dakar
                                    
                                        11. nov. '24, 12:05
                                    
                    15 000 F Cfa
                        
                        784574920","https://www.expat-dakar.com/annonce/chambre-meublee-ngor-almadies-6201684","Chambre meublée Ngor-Almadies","15 000 F Cfa","Almadies","1","40 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c27f7b625756ba122a106cd91b4d17b/-/horizon-files-prod/ed/picture/qde74n2g/2386a8fcb790f7b5c10d5e15b00cfb0db60a79b0.jpg"
"1737720555-143","https://www.expat-dakar.com/appartements-meubles?page=65","Appartement Meublé 3 Chambres Mermoz
                                3 chambre150 m²
                                                                                    Mermoz,
                                                                                Dakar
                                    
                                        11. nov. '24, 19:35
                                    
                    40 000 F Cfa
                        
                        765124792","https://www.expat-dakar.com/annonce/appartement-meuble-3-chambres-mermoz-6140216","Appartement Meublé 3 Chambres Mermoz","40 000 F Cfa","Mermoz","3","150 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ed2cc9feaa65e603446f8d40decd97a7/-/horizon-files-prod/ed/picture/qpdmmrj4/d55b901388ee29e663d0297d3b41278ad2acee8f.jpg"
"1737720563-144","https://www.expat-dakar.com/appartements-meubles?page=65","Appartement meublé à louer au virage
                                3 chambre180 m²
                                                                                    Virage,
                                                                                Dakar
                                    
                                        11. nov. '24, 21:41
                                    
                                            Vendeur vérifié
                                        
                    1 700 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/appartement-meuble-a-louer-au-virage-6208661","Appartement meublé à louer au virage","1 700 000 F Cfa","Virage","3","180 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a06cfb13ffc94bff20f260a9e9b261f4/-/horizon-files-prod/ed/picture/q2j0dj6e/15432806eea63273f5231de3bff795c796279de3.jpg"
"1737720568-145","https://www.expat-dakar.com/appartements-meubles?page=65","Appartement meublé haut standing
                                90 m²
                                                                                    Sicap Sacré-cœur,
                                                                                Dakar
                                    
                                        13. nov. '24, 10:15
                                    
                    35 000 F Cfa","https://www.expat-dakar.com/annonce/appartement-meuble-haut-standing-6208581","Appartement meublé haut standing","35 000 F Cfa","Sicap Sacré-cœur","","90 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/31476849a6edbc7ddfa828096f98118e/-/horizon-files-prod/ed/picture/qj4qw496/bae46842dfad4567c550ceff10b3a1b32e9a59e3.jpg"
"1737720573-146","https://www.expat-dakar.com/appartements-meubles?page=65","Appartement f4 Meublè à fann
                                3 chambre300 m²
                                                                                    Fann,
                                                                                Dakar
                                    
                                        12. nov. '24, 08:05
                                    
                                            Vendeur vérifié
                                        
                    2 500 000 F Cfa
                        
                        771120873
                    
                        771120873","https://www.expat-dakar.com/annonce/appartement-f4-meuble-a-fann-5795583","Appartement f4 Meublè à fann","2 500 000 F Cfa","Fann","3","300 m²","https://i.roamcdn.net/hz/ed/listing-thumb-543w/804f96b59606f8c92e19bcbb56e1b4fe/-/horizon-files-prod/ed/picture/q2jrx782/24794c353dfd2500a9ceded8a8354bb3e580a321.jpg"
"1737720581-147","https://www.expat-dakar.com/appartements-meubles?page=64","2 chambres salon liberté 6 extension
                                2 chambre
                                                                                    Liberte 6 extension,
                                                                                Dakar
                                    
                                        12. nov. '24, 11:06
                                    
                    45 000 F Cfa
                        
                        765630430","https://www.expat-dakar.com/annonce/2-chambres-salon-liberte-6-extension-5757759","2 chambres salon liberté 6 extension","45 000 F Cfa","Liberte 6 extension","2","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/262a96ff8600b704e03947d7bc028f18/-/horizon-files-prod/ed/picture/qj4j70q5/2a9c0d05193c9a015da05600a2b6a1ed3bfab830.jpg"
